gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,#N/A,#N/A,0.990884557,0.807850681,0.43589458,0.038696343,0.015124518,0.00668081,1,1,80,#N/A,#N/A,#NAME?,Albany 1,#N/A,20,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.009115443,0.000690478,2.99E-05,1.40E-07,5.50E-09,3.27E-10,1,1,81,#N/A,#N/A,#NAME?,Albany 1,#N/A,22,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.572020447,0.087875632,0.025931846,0.000996977,0.000252218,7.69E-05,1,1,82,#N/A,#N/A,#NAME?,Albany 1,#N/A,24,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.427979553,0.053331248,0.011778077,0.000320613,4.46E-05,8.02E-06,1,1,83,#N/A,#N/A,#NAME?,Albany 1,#N/A,26,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.985160245,0.856637423,0.458700003,0.040592047,0.014703321,0.006072549,1,1,84,#N/A,#N/A,#NAME?,Albany 1,#N/A,28,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.014839755,0.002155697,8.32E-05,3.75E-07,9.61E-09,3.86E-10,1,1,85,#N/A,#N/A,#NAME?,Albany 1,#N/A,30,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.996876217,0.945533085,0.798137894,0.544431651,0.327527991,0.084333431,1,1,86,#N/A,#N/A,#NAME?,Portland 4,#N/A,32,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.002449629,0.000323858,3.10E-05,1.55E-06,5.95E-08,7.14E-10,1,1,87,#N/A,#N/A,#NAME?,Portland 4,#N/A,34,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.515050173,0.028552634,0.011326126,0.002633254,0.000651627,5.44E-05,1,1,88,#N/A,#N/A,#NAME?,Portland 4,#N/A,36,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.484949827,0.025534084,0.01079988,0.002711905,0.000553374,3.71E-05,1,1,89,#N/A,#N/A,#NAME?,Portland 4,#N/A,38,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.585313609,0.167876626,0.023924331,0.006512395,0.001683725,0.000147253,1,1,90,#N/A,#N/A,#NAME?,Portland 4,#N/A,40,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.414686391,0.097186631,0.011831725,0.002835588,0.000553112,3.53E-05,1,1,91,#N/A,#N/A,#NAME?,Portland 4,#N/A,42,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.898476535,0.701030308,0.141720074,0.050785051,0.014055548,0.001315098,1,1,92,#N/A,#N/A,#NAME?,Portland 4,#N/A,44,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.101523465,0.033906435,0.0022255,0.000317685,3.53E-05,1.24E-06,1,1,93,#N/A,#N/A,#NAME?,Portland 4,#N/A,46,#N/A,#NAME?,#N/A,#NAME?
