gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,0,1,0.836199596,0.255135383,0.111958321,0.046159944,0.017820401,2.82E-03,1,1,66,Baylor,86.22249098,Portland 3,5,104,31,0.6161,5,86.22249098
womens,3/12/2023,1,0.62491106,0.163800404,0.016233732,0.002341736,0.000342904,0.0000496,2.56E-06,0,1,2649,Vanderbilt,75.36498211,Portland 3,12a,106,63,0.5818,12,75.36498211
womens,3/12/2023,1,0.62491106,0.163800404,0.016233732,0.002341736,0.000342904,0.0000496,0.00000256,0,1,2649,Columbia,77.65548211,Portland 3,12b,107,43,0.5943,12,77.65548211
womens,3/12/2023,0,1,0.979890412,0.72660352,0.328622941,0.138983167,0.057242129,9.80E-03,1,1,2633,Virginia Tech,87.70026768,Portland 3,4,108,27,0.6206,4,87.70026768
womens,3/12/2023,0,1,0.020109588,0.002027365,0.000111606,0.00000674,0.000000464,0.000000011,1,1,139,Marshall,78.99960141,Portland 3,13,110,36,0.6052,13,78.99960141
womens,3/12/2023,0,1,0.774007797,0.276435025,0.072197107,0.026614552,8.38E-03,1.03E-03,1,1,153,Syracuse,81.17153428,Portland 3,6,112,47,0.5921,6,81.17153428
womens,3/12/2023,1,0.62491106,0.171568864,0.032765577,0.004281911,0.000879633,0.000159297,0.0000105,0,1,2509,Auburn,76.4213068,Portland 3,11a,114,58,0.584,11,76.4213068
womens,3/12/2023,1,0.62491106,0.171568864,0.032765577,0.004281911,0.000879633,0.000159297,1.05E-05,0,1,2509,Arizona,75.3218668,Portland 3,11b,115,68,0.578,11,75.3218668
womens,3/12/2023,0,1,0.960588664,0.678712305,0.195571999,0.077998891,0.026176892,0.003468122,1,1,194,Connecticut,98.26674837,Portland 3,3,116,5,0.6747,3,98.26674837
womens,3/12/2023,0,1,0.039411336,0.005343136,2.15E-04,1.55E-05,1.04E-06,2.41E-08,1,1,256,Jackson St.,70.17390071,Portland 3,14,118,80,0.5606,14,70.17390071
womens,3/12/2023,0,1,0.610064917,0.04538888,0.019599184,0.006126473,0.002030122,0.000268042,1,1,239,Duke,86.30872159,Portland 3,7,120,24,0.6237,7,86.30872159
womens,3/12/2023,0,1,0.389935083,0.019844352,0.006125728,0.001323644,0.000270691,2.04E-05,1,1,333,Richmond,86.1265595,Portland 3,10,122,19,0.6334,10,86.1265595
womens,3/12/2023,0,1,0.995901946,0.934268982,0.701409459,0.438792992,0.228814781,0.053657551,1,1,41,Ohio St.,93.91749307,Portland 3,2,124,11,0.6474,2,93.91749307
womens,3/12/2023,0,1,0.004098054,0.000497787,2.53E-05,8.58E-07,2.69E-08,2.86E-10,1,1,261,Maine,68.20137602,Portland 3,15,126,92,0.5534,15,68.20137602
